DATE,DGS10
2019-06-01,2.00
2019-07-01,2.02
2019-08-01,1.50
2019-09-01,1.68
2019-10-01,1.69
2019-11-01,1.78
2019-12-01,1.92
2020-01-01,1.51
2020-02-01,1.13
2020-03-01,0.70
2020-04-01,0.64
2020-05-01,0.65
2020-06-01,0.66
2020-07-01,0.55
2020-08-01,0.72
2020-09-01,0.69
2020-10-01,0.88
2020-11-01,0.84
2020-12-01,0.93
2021-01-01,1.11
2021-02-01,1.44
2021-03-01,1.74
2021-04-01,1.65
2021-05-01,1.58
2021-06-01,1.45
2021-07-01,1.24
2021-08-01,1.30
2021-09-01,1.52
2021-10-01,1.55
2021-11-01,1.43
2021-12-01,1.52
2022-01-01,1.79
2022-02-01,1.83
2022-03-01,2.32
2022-04-01,2.89
2022-05-01,2.85
2022-06-01,2.98
2022-07-01,2.67
2022-08-01,3.15
2022-09-01,3.83
2022-10-01,4.10
2022-11-01,3.68
2022-12-01,3.88
2023-01-01,3.52
2023-02-01,3.92
2023-03-01,3.48
2023-04-01,3.44
2023-05-01,3.64
2023-06-01,3.81
2023-07-01,3.97
2023-08-01,4.09
2023-09-01,4.59
2023-10-01,4.88
2023-11-01,4.37
2023-12-01,3.88
2024-01-01,3.99
2024-02-01,4.25
2024-03-01,4.2
2024-04-01,4.69
2024-05-01,4.51
2024-06-01,4.36
